Ticker,Last Price,Market Cap (B),Shares Outstanding (B),Float (B),Sector,Industry,50D MA,200D MA,Avg Volume 10D (M),Avg Volume 3M (M),Shares Short (M),Earning Dates,Short Ratio,Short % Float,Price Targets Low,Price Targets Avg,Price Targets High,Last Updated,strong_buy,buy,hold,sell,strong_sell,Days to cover,Number of recommendations,% Price vs 50 Days Moving average,% Price vs 200 Days Moving average,% of sell,% of strong_sell,% of hold,% of buy,% of strong_buy,Low Below current Abs %,High above current Abs %
MLI,74.99,8297643008,110650000,107881289,Industrials,Metal Fabrication,75.9188,76.84555,609830,934862,4067650,"[1753101000, 1753446600]",3.91,0.0502,105.0,105.0,105,1746820802,0,1,0,0,0,6.67,1,-1.22%,-2.41%,0.0%,0.0%,0.0%,100.0%,0.0%,40.02%,40.02%
FTAI,107.13,10986823680,102556000,101018661,Industrials,Rental & Leasing Services,104.4754,124.64845,2623030,2109840,6854988,"[1753095540, 1753444800]",3.89,0.0856,122.73,165.59462,300,1746820801,4,8,1,0,0,2.61,13,2.54%,-14.05%,0.0%,0.0%,7.69%,61.54%,30.77%,14.56%,180.03%
CRS,212.33,10569638912,49779300,48528886,Industrials,Metal Fabrication,186.4448,172.9649,853800,945854,4317689,"[1753273800, 1753705800]",4.41,0.12149999,230.0,256.0,300,1746820802,1,3,2,0,0,5.06,6,13.88%,22.76%,0.0%,0.0%,33.33%,50.0%,16.67%,8.32%,41.29%
AIT,220.51,8398034944,38084600,37661521,Industrials,Industrial Distribution,227.213,234.68675,539510,398598,1170715,[1746095400],2.63,0.044299997,250.0,277.85715,300,1746820802,1,6,1,0,0,2.17,8,-2.95%,-6.04%,0.0%,0.0%,12.5%,75.0%,12.5%,13.37%,36.05%
HALO,65.87,8116567552,123221000,121835996,Healthcare,Biotechnology,61.4168,56.4413,2636690,1714601,9462038,"[1754305140, 1754654400]",6.0,0.105100006,58.0,70.375,79,1746820802,3,3,3,0,0,3.59,9,7.25%,16.71%,0.0%,0.0%,33.33%,33.33%,33.33%,-11.95%,19.93%
SSB,88.74,9006488576,101493000,100125239,Financial Services,Banks - Regional,89.4952,97.22645,719180,744745,4643747,"[1753181940, 1753704000]",5.33,0.0587,97.0,113.6,120,1746820802,3,5,2,0,0,6.46,10,-0.84%,-8.73%,0.0%,0.0%,20.0%,50.0%,30.0%,9.31%,35.23%
HIMS,51.96,11630310400,215454000,194337242,Consumer Defensive,Household & Personal Products,33.8354,27.70835,77568040,35962091,62308786,"[1754305140, 1754654400]",2.15,0.3461,25.0,44.38786,85,1746820802,1,3,8,1,1,0.8,14,53.57%,87.52%,7.14%,7.14%,57.14%,21.43%,7.14%,-51.89%,63.59%
INSM,65.08,11838052352,181900000,167531381,Healthcare,Biotechnology,72.9704,73.56175,2119800,2225696,15778659,"[1754483400, 1754915400]",5.33,0.097799994,89.0,96.88882,109,1746820800,6,12,0,0,0,7.44,18,-10.81%,-11.53%,0.0%,0.0%,0.0%,66.67%,33.33%,36.75%,67.49%
HQY,90.4,7819274752,86496400,84814093,Healthcare,Health Information Services,89.5086,90.82413,898350,1108537,6167101,[1748980800],5.84,0.0834,94.0,110.92857,130,1746820801,4,9,1,0,0,6.86,14,1.0%,-0.47%,0.0%,0.0%,7.14%,64.29%,28.57%,3.98%,43.81%
SFM,161.77,15830586368,97858600,97343884,Consumer Defensive,Grocery Stores,152.9986,133.75826,2147810,1804572,6456731,"[1753700340, 1754049600]",3.65,0.0884,155.0,182.0,211,1746820801,1,4,10,0,0,3.01,15,5.73%,20.94%,0.0%,0.0%,66.67%,26.67%,6.67%,-4.18%,30.43%
