Ticker,Last Price,Market Cap (B),Shares Outstanding (B),Float (B),Sector,Industry,50D MA,200D MA,Avg Volume 10D (M),Avg Volume 3M (M),Shares Short (M),Earning Dates,Short Ratio,Short % Float,Price Targets Low,Price Targets Avg,Price Targets High,Last Updated,strong_buy,buy,hold,sell,strong_sell,Days to cover,Number of recommendations,% Price vs 50 Days Moving average,% Price vs 200 Days Moving average,% of sell,% of strong_sell,% of hold,% of buy,% of strong_buy,Low Below current Abs %,High above current Abs %
AOS,68.29,9704623104,116239000,114100771,Industrials,Specialty Industrial Machinery,65.77,73.28875,1450620,1481003,5850777,"[1753101000, 1753446600]",3.35,0.0507,59.0,75.42667,84,1746820802,1,4,9,0,1,4.03,15,3.83%,-6.82%,0.0%,6.67%,60.0%,26.67%,6.67%,-13.6%,23.0%
ABBV,184.6,326553698304,1768979968,1761471078,Healthcare,Drug Manufacturers - General,196.3194,189.28046,7463650,7771534,19795764,"[1753277400, 1753709400]",2.02,0.0112,173.0,210.75221,250,1746820802,4,13,11,0,0,2.65,28,-5.97%,-2.47%,0.0%,0.0%,39.29%,46.43%,14.29%,-6.28%,35.43%
MMM,142.6,76744613888,538180992,537406381,Industrials,Conglomerates,142.4726,136.1457,2601290,4160331,9854362,"[1753363800, 1753709400]",2.08,0.0184,100.0,148.19778,184,1746820802,2,9,5,1,2,3.79,19,0.09%,4.74%,5.26%,10.53%,26.32%,47.37%,10.53%,-29.87%,29.03%
AES,11.12,7916583936,711923008,707765186,Utilities,Utilities - Diversified,11.242,13.97275,14981990,15363209,40693364,"[1753873140, 1754308800]",2.9,0.0657,7.0,13.93923,23,1746820802,3,6,5,1,0,2.72,15,-1.09%,-20.42%,6.67%,0.0%,33.33%,40.0%,20.0%,-37.05%,106.83%
ABT,133.24,231816298496,1739840000,1729815007,Healthcare,Medical Devices,130.4832,120.1829,6117760,7084268,21115934,"[1752669000, 1753101000]",2.69,0.012200001,111.34,140.2184,159,1746820802,7,12,9,0,0,3.45,28,2.11%,10.86%,0.0%,0.0%,32.14%,42.86%,25.0%,-16.44%,19.33%
AFL,105.97,57292148736,540644992,535757597,Financial Services,Insurance - Life,107.5078,106.8578,1977680,2074224,8042614,"[1753786740, 1754308800]",3.65,0.015,94.0,105.46154,120,1746820802,2,1,8,1,1,4.07,13,-1.43%,-0.83%,7.69%,7.69%,61.54%,7.69%,15.38%,-11.3%,13.24%
A,106.93,30486065152,285103008,284050688,Healthcare,Diagnostics & Research,112.923,132.5248,1603250,2173690,4322980,[1748462400],1.73,0.0172,113.2,140.6,165,1746820802,2,9,9,0,0,2.7,20,-5.31%,-19.31%,0.0%,0.0%,45.0%,45.0%,10.0%,5.86%,54.31%
ACN,307.9,192753401856,626025984,624917759,Technology,Information Technology Services,307.8564,342.6929,2623210,3601519,7892719,[1750422600],2.09,0.0126,280.0,354.83084,415,1746820802,6,12,8,0,0,3.01,26,0.01%,-10.15%,0.0%,0.0%,30.77%,46.15%,23.08%,-9.06%,34.78%
ADBE,383.28,163353935872,426200000,425002378,Technology,Software - Application,385.099,468.5235,2649010,3864496,9408544,[1749758400],2.21,0.0221,380.0,489.2894,630,1746820800,8,18,13,0,0,3.55,39,-0.47%,-18.19%,0.0%,0.0%,33.33%,46.15%,20.51%,-0.86%,64.37%
AMD,102.84,166744768512,1621400064,1610135436,Technology,Semiconductors,98.1332,127.71855,40833020,39387852,40942603,"[1753700340, 1754049600]",0.93,0.0253,75.0,126.97905,200,1746820800,7,25,17,1,0,1.0,50,4.8%,-19.48%,2.0%,0.0%,34.0%,50.0%,14.0%,-27.07%,94.48%
